Order ID,Order Date,Region,Product,Category,Sales,Profit,Quantity
ORD2718,2025-05-08,West,Desk,Furniture,132.28,21.26,3
ORD8875,2025-01-11,South,Stapler,Office Supplies,1991.96,394.48,2
ORD4140,2024-08-19,West,Laptop,Technology,1580.95,196.48,5
ORD1368,2024-12-14,South,Binder,Office Supplies,822.63,141.89,4
ORD2449,2024-12-02,West,Chair,Furniture,658.2,71.29,2
ORD1066,2025-05-02,West,Chair,Furniture,270.03,39.78,1
ORD3397,2024-10-08,East,Pen,Office Supplies,1362.09,71.82,5
ORD1053,2024-11-13,North,Printer,Technology,283.71,65.13,1
ORD4513,2025-07-03,North,Stapler,Office Supplies,1839.39,316.5,2
ORD9934,2024-09-15,North,Cabinet,Furniture,1757.13,288.96,5
ORD4733,2025-03-14,West,Notebook,Office Supplies,358.85,58.71,1
ORD7087,2024-08-10,South,Stapler,Office Supplies,1715.55,115.67,2
ORD1816,2025-05-20,South,Binder,Office Supplies,1509.76,153.47,1
ORD2634,2025-05-20,South,Paper,Office Supplies,1858.55,111.05,4
ORD4145,2025-01-11,South,Mouse,Technology,595.98,121.43,2
ORD5994,2025-04-14,North,Keyboard,Technology,340.9,35.37,1
ORD9370,2024-09-25,West,Notebook,Office Supplies,705.34,75.75,2
ORD5725,2025-01-15,South,Printer,Technology,505.9,69.84,4
ORD6290,2025-01-07,South,Mouse,Technology,1112.26,212.45,5
ORD7265,2025-06-20,West,Printer,Technology,854.95,92.9,5
ORD9660,2025-07-09,West,Mouse,Technology,982.73,131.23,4
ORD2054,2025-02-26,South,Desk,Furniture,564.26,33.22,5
ORD1945,2025-03-14,West,Pen,Office Supplies,1704.11,303.31,3
ORD2214,2025-02-23,South,Pen,Office Supplies,354.58,39.17,1
ORD2368,2025-07-10,North,Desk,Furniture,962.79,198.03,4
ORD6791,2024-12-20,West,Notebook,Office Supplies,807.24,154.09,3
ORD6533,2024-09-03,West,Table,Furniture,1797.38,148.36,4
ORD3756,2025-01-18,South,Mouse,Technology,472.27,43.86,5
ORD9126,2025-01-23,East,Paper,Office Supplies,1026.72,121.61,1
ORD3898,2024-08-13,North,Desk,Furniture,1748.45,324.26,5
ORD7091,2025-02-21,West,Chair,Furniture,615.19,48.36,4
ORD6671,2024-12-09,North,Mouse,Technology,370.09,87.03,1
ORD3221,2024-11-16,East,Chair,Furniture,945.39,236.27,5
ORD9389,2025-03-27,East,Mouse,Technology,983.28,151.65,1
ORD6411,2024-08-31,West,Stapler,Office Supplies,401.14,20.74,2
ORD8569,2024-09-12,East,Binder,Office Supplies,1055.64,195.69,2
ORD6156,2024-11-19,East,Notebook,Office Supplies,1885.63,348.47,5
ORD2219,2025-01-29,East,Table,Furniture,1697.91,126.72,5
ORD4694,2025-01-02,West,Notebook,Office Supplies,1068.61,205.26,5
ORD9661,2024-08-14,North,Desk,Furniture,802.55,104.14,5
ORD9421,2024-11-13,North,Chair,Furniture,1241.75,258.51,1
ORD3403,2024-09-14,West,Binder,Office Supplies,1368.03,101.1,2
ORD5013,2024-08-11,West,Desk,Furniture,530.82,115.76,1
ORD6648,2025-01-29,North,Chair,Furniture,1111.44,226.56,3
ORD5930,2024-10-02,East,Monitor,Technology,957.89,117.9,5
ORD9531,2024-09-10,South,Mouse,Technology,1235.42,126.46,1
ORD1720,2024-10-17,West,Printer,Technology,224.67,51.65,1
ORD9094,2024-11-13,North,Notebook,Office Supplies,1801.03,335.27,5
ORD1177,2024-10-07,West,Printer,Technology,583.3,125.88,5
ORD2430,2024-08-04,North,Keyboard,Technology,1052.5,166.54,2
ORD3421,2024-09-26,North,Laptop,Technology,770.98,68.1,2
ORD7483,2024-09-17,East,Laptop,Technology,621.96,90.03,4
ORD3998,2025-03-13,West,Laptop,Technology,171.93,33.29,5
ORD9578,2024-09-22,East,Paper,Office Supplies,1556.36,204.75,5
ORD7081,2025-02-26,West,Notebook,Office Supplies,1055.51,164.76,1
ORD9955,2024-11-16,South,Keyboard,Technology,1045.04,136.95,2
ORD9792,2025-04-21,South,Laptop,Technology,569.6,50.18,4
ORD7846,2025-01-11,West,Table,Furniture,570.49,31.38,2
ORD8527,2024-10-12,South,Table,Furniture,329.98,61.87,5
ORD5796,2025-01-28,South,Printer,Technology,84.63,14.88,3
ORD2909,2025-07-03,West,Binder,Office Supplies,577.79,138.01,3
ORD2207,2025-02-04,North,Mouse,Technology,1648.99,339.89,5
ORD6720,2024-08-25,West,Printer,Technology,1458.71,331.26,1
ORD1525,2025-05-08,South,Desk,Furniture,459.84,66.2,4
ORD6132,2025-03-28,East,Stapler,Office Supplies,673.86,61.81,1
ORD9386,2025-05-18,South,Printer,Technology,1594.42,189.51,5
ORD4168,2025-03-05,South,Notebook,Office Supplies,489.6,68.63,5
ORD4786,2025-01-09,West,Chair,Furniture,37.53,8.43,2
ORD9552,2025-03-18,East,Table,Furniture,1452.13,308.49,4
ORD8120,2025-06-02,West,Keyboard,Technology,1306.99,248.74,4
ORD5934,2025-01-10,East,Notebook,Office Supplies,1548.29,179.22,5
ORD6712,2025-04-02,East,Mouse,Technology,648.39,59.12,5
ORD5308,2024-11-21,East,Stapler,Office Supplies,1543.89,93.89,3
ORD8768,2024-09-14,West,Binder,Office Supplies,1322.96,190.53,1
ORD5093,2024-10-11,East,Chair,Furniture,364.62,21.44,3
ORD6734,2024-11-17,North,Chair,Furniture,555.27,88.8,4
ORD3841,2025-06-06,South,Binder,Office Supplies,1669.34,150.69,5
ORD4079,2025-06-17,East,Binder,Office Supplies,1073.62,82.16,2
ORD8067,2024-10-31,West,Table,Furniture,1170.69,199.37,1
ORD8941,2024-08-15,South,Chair,Furniture,1801.4,360.27,3
ORD9667,2024-10-13,South,Laptop,Technology,1966.95,465.93,2
ORD6610,2024-10-13,South,Chair,Furniture,800.22,177.23,2
ORD8617,2025-02-26,North,Table,Furniture,1091.36,99.88,1
ORD2202,2025-03-26,West,Paper,Office Supplies,693.93,169.41,4
ORD9238,2024-12-18,North,Table,Furniture,933.35,196.2,5
ORD7410,2024-08-01,South,Binder,Office Supplies,1556.0,154.52,4
ORD5665,2024-09-19,North,Chair,Furniture,1088.32,98.96,3
ORD7102,2025-02-14,West,Chair,Furniture,1461.39,297.44,5
ORD9136,2025-03-13,East,Pen,Office Supplies,1868.82,421.19,4
ORD3138,2024-11-09,North,Laptop,Technology,474.02,24.65,3
ORD7955,2025-04-30,North,Mouse,Technology,1455.58,263.08,5
ORD3812,2024-10-27,North,Mouse,Technology,365.79,22.72,5
ORD2675,2024-11-18,East,Stapler,Office Supplies,1061.29,190.86,2
ORD8338,2024-08-15,North,Cabinet,Furniture,543.09,57.81,1
ORD3586,2025-05-22,North,Printer,Technology,1115.73,102.57,2
ORD6850,2025-01-14,North,Stapler,Office Supplies,1581.54,170.27,5
ORD4678,2024-09-30,East,Laptop,Technology,1908.49,145.16,4
ORD7880,2024-09-29,South,Printer,Technology,1845.36,435.91,4
ORD5725,2024-10-09,South,Binder,Office Supplies,186.35,29.93,5
ORD3351,2025-05-06,North,Mouse,Technology,1155.76,169.29,4
ORD2334,2025-04-14,South,Monitor,Technology,513.68,44.0,2
ORD2289,2025-05-22,West,Mouse,Technology,1454.31,282.25,2
ORD3605,2025-05-30,South,Printer,Technology,1605.56,339.79,4
ORD5606,2025-06-14,West,Laptop,Technology,265.9,19.19,3
ORD4223,2024-12-27,South,Chair,Furniture,1978.33,272.01,2
ORD7184,2024-11-07,North,Pen,Office Supplies,647.7,64.68,1
ORD3675,2025-01-21,West,Binder,Office Supplies,140.57,30.42,1
ORD5961,2024-11-06,South,Chair,Furniture,1126.2,199.24,5
ORD8582,2024-08-12,West,Pen,Office Supplies,1204.07,83.97,1
ORD8402,2024-12-14,East,Table,Furniture,1012.0,126.67,2
ORD1590,2025-06-01,West,Notebook,Office Supplies,1453.45,126.51,1
ORD6479,2024-12-09,South,Shelf,Furniture,135.35,29.56,3
ORD8314,2024-12-31,East,Paper,Office Supplies,690.67,60.61,5
ORD4411,2024-07-31,West,Binder,Office Supplies,1635.51,98.23,1
ORD8238,2025-02-09,North,Keyboard,Technology,1146.11,260.36,1
ORD3778,2024-11-23,East,Cabinet,Furniture,1892.01,109.66,5
ORD3270,2025-05-08,South,Cabinet,Furniture,457.1,47.92,5
ORD7549,2024-10-28,West,Desk,Furniture,1176.42,235.01,1
ORD7972,2024-10-30,North,Binder,Office Supplies,384.39,90.39,3
ORD3679,2025-06-10,East,Shelf,Furniture,1064.53,176.85,4
ORD4190,2025-02-24,South,Shelf,Furniture,916.26,133.03,5
ORD2560,2025-03-22,East,Cabinet,Furniture,885.41,213.85,4
ORD8928,2025-05-22,East,Keyboard,Technology,1581.45,176.25,2
ORD2514,2025-01-05,South,Mouse,Technology,606.1,58.95,3
ORD1496,2024-10-20,East,Desk,Furniture,526.82,112.5,1
ORD9995,2025-01-21,North,Pen,Office Supplies,1362.31,234.39,2
ORD8714,2024-11-01,East,Table,Furniture,1557.47,110.99,4
ORD5685,2024-10-01,East,Mouse,Technology,429.89,27.31,3
ORD4459,2025-06-14,North,Desk,Furniture,809.5,107.32,1
ORD3682,2025-04-29,North,Notebook,Office Supplies,1512.14,184.62,1
ORD5985,2025-02-01,East,Paper,Office Supplies,1114.58,183.06,1
ORD5471,2024-10-19,West,Cabinet,Furniture,1567.48,146.52,5
ORD4220,2024-12-01,East,Printer,Technology,1169.14,276.88,1
ORD8145,2025-07-17,South,Keyboard,Technology,137.64,21.55,4
ORD3036,2025-02-10,West,Notebook,Office Supplies,1761.24,90.5,1
ORD4331,2024-08-13,South,Paper,Office Supplies,719.15,126.99,2
ORD4423,2025-05-09,North,Cabinet,Furniture,1997.69,423.13,2
ORD8618,2025-07-08,North,Cabinet,Furniture,584.29,116.22,4
ORD9696,2025-06-27,North,Mouse,Technology,290.63,69.82,3
ORD3869,2025-06-11,North,Monitor,Technology,1002.72,93.13,4
ORD6131,2024-08-27,South,Shelf,Furniture,167.86,29.12,5
ORD9563,2024-09-05,South,Cabinet,Furniture,765.51,144.3,2
ORD4051,2024-11-12,South,Stapler,Office Supplies,1834.5,262.95,2
ORD4769,2025-01-08,West,Paper,Office Supplies,941.19,136.14,2
ORD5463,2024-10-25,West,Pen,Office Supplies,1653.54,409.05,4
ORD2084,2025-01-15,South,Table,Furniture,548.68,113.61,1
ORD1782,2024-09-13,North,Chair,Furniture,138.17,32.82,2
ORD6929,2025-06-12,West,Paper,Office Supplies,1676.31,318.87,2
ORD7606,2025-04-03,East,Pen,Office Supplies,1928.57,425.97,2
ORD5810,2024-09-25,East,Printer,Technology,853.61,110.78,2
ORD8814,2024-12-28,North,Printer,Technology,1389.73,232.36,2
ORD3861,2024-10-16,East,Stapler,Office Supplies,197.04,43.21,3
ORD5657,2025-03-24,East,Cabinet,Furniture,1033.87,224.56,5
ORD6389,2024-10-15,North,Desk,Furniture,390.01,37.71,2
ORD8847,2024-11-18,South,Keyboard,Technology,1731.93,320.15,2
ORD4364,2024-12-29,East,Monitor,Technology,894.39,153.44,4
ORD1358,2025-01-31,West,Stapler,Office Supplies,1605.23,349.45,5
ORD3279,2025-01-08,South,Keyboard,Technology,725.03,164.31,2
ORD2299,2025-03-03,North,Notebook,Office Supplies,213.16,32.95,1
ORD5823,2025-05-11,North,Cabinet,Furniture,218.83,31.79,4
ORD7198,2025-03-24,East,Laptop,Technology,551.38,125.76,3
ORD1747,2025-05-31,North,Table,Furniture,336.06,34.71,3
ORD7304,2025-03-18,West,Shelf,Furniture,1727.66,256.07,2
ORD5467,2024-09-18,North,Chair,Furniture,610.59,146.13,4
ORD8783,2024-09-11,South,Table,Furniture,1379.96,269.48,2
ORD4154,2025-06-02,West,Cabinet,Furniture,644.19,138.68,2
ORD1558,2024-09-15,North,Laptop,Technology,1939.15,224.23,5
ORD5387,2025-03-31,South,Laptop,Technology,1223.25,104.17,1
ORD1393,2024-08-10,East,Stapler,Office Supplies,1132.29,79.56,5
ORD1988,2024-10-17,East,Table,Furniture,1083.01,214.58,3
ORD9332,2024-08-16,East,Laptop,Technology,372.7,31.65,3
ORD1930,2025-01-07,West,Shelf,Furniture,1270.89,179.21,3
ORD2311,2025-04-08,East,Pen,Office Supplies,257.5,15.69,1
ORD3781,2025-06-25,South,Table,Furniture,1797.55,311.97,3
ORD4482,2025-02-23,West,Paper,Office Supplies,645.87,36.18,5
ORD8812,2024-11-20,West,Mouse,Technology,1865.6,261.54,3
ORD3751,2024-08-17,West,Desk,Furniture,153.01,14.77,2
ORD4008,2025-01-11,East,Keyboard,Technology,818.79,123.16,3
ORD3632,2024-10-30,North,Stapler,Office Supplies,652.59,92.45,5
ORD8173,2025-04-29,East,Laptop,Technology,1721.77,411.2,2
ORD4116,2024-08-20,North,Printer,Technology,784.19,86.37,2
ORD5295,2024-11-30,South,Desk,Furniture,500.88,79.09,1
ORD2174,2025-05-20,West,Cabinet,Furniture,302.85,30.83,2
ORD1157,2024-09-21,West,Desk,Furniture,1235.83,151.75,3
ORD3792,2025-06-27,South,Monitor,Technology,1221.94,135.21,2
ORD7028,2024-12-22,East,Printer,Technology,922.53,117.04,2
ORD2009,2025-02-10,East,Keyboard,Technology,967.05,75.03,5
ORD4620,2024-10-12,South,Paper,Office Supplies,1680.89,203.14,3
ORD4457,2024-11-16,South,Monitor,Technology,1087.55,117.96,5
ORD6948,2025-05-24,West,Paper,Office Supplies,344.57,73.0,2
ORD8908,2025-04-15,North,Cabinet,Furniture,562.46,101.38,3
ORD6292,2024-10-05,North,Binder,Office Supplies,192.09,36.19,4
ORD6831,2025-03-28,West,Notebook,Office Supplies,266.29,39.44,2
ORD6288,2025-06-03,South,Laptop,Technology,394.65,22.37,4
ORD9655,2025-01-11,South,Laptop,Technology,1304.51,197.33,5
ORD5544,2024-12-30,North,Notebook,Office Supplies,1803.37,238.0,4
ORD9955,2024-12-22,South,Paper,Office Supplies,1117.05,266.23,4
ORD8706,2024-12-30,East,Cabinet,Furniture,819.49,197.71,3
ORD4207,2025-05-18,North,Notebook,Office Supplies,1929.54,163.51,4
ORD3928,2025-05-26,North,Notebook,Office Supplies,1746.71,288.7,3
ORD4994,2025-05-27,East,Chair,Furniture,1152.3,271.46,5
ORD4947,2024-08-19,South,Binder,Office Supplies,834.24,118.18,4
ORD3181,2025-01-05,East,Shelf,Furniture,1934.58,436.88,4
ORD8033,2025-03-13,South,Monitor,Technology,976.62,198.36,3
ORD5613,2024-09-14,East,Printer,Technology,789.47,169.61,2
ORD2344,2024-08-31,West,Stapler,Office Supplies,1195.66,174.58,3
ORD1625,2024-10-27,South,Printer,Technology,440.71,82.26,1
ORD6336,2024-12-13,North,Table,Furniture,1055.56,64.01,1
ORD5641,2025-05-25,North,Notebook,Office Supplies,1219.82,237.54,3
ORD3876,2024-12-12,South,Shelf,Furniture,572.6,67.03,2
ORD6865,2024-09-19,North,Laptop,Technology,1798.49,428.76,2
ORD9664,2024-11-14,West,Monitor,Technology,240.36,59.4,5
ORD6970,2024-10-29,South,Binder,Office Supplies,208.15,19.08,2
ORD7395,2025-04-21,West,Printer,Technology,416.31,98.94,3
ORD2424,2024-12-07,South,Stapler,Office Supplies,313.28,73.23,3
ORD6060,2024-12-03,East,Notebook,Office Supplies,1961.0,121.26,4
ORD7960,2025-01-25,East,Table,Furniture,1659.48,333.06,3
ORD9101,2025-06-28,North,Table,Furniture,613.15,99.15,2
ORD8132,2025-05-17,West,Chair,Furniture,1013.81,90.02,2
ORD9498,2025-03-01,South,Table,Furniture,1746.01,265.45,4
ORD2510,2025-02-24,North,Shelf,Furniture,1267.34,170.36,5
ORD6564,2025-05-16,South,Paper,Office Supplies,1340.55,318.11,4
ORD7191,2024-08-22,East,Shelf,Furniture,1723.56,269.19,5
ORD9874,2025-03-09,East,Keyboard,Technology,1405.64,338.64,2
ORD2683,2025-02-12,East,Pen,Office Supplies,1425.96,336.07,2
ORD5850,2025-04-07,West,Table,Furniture,1995.13,216.73,5
ORD6524,2024-08-07,East,Desk,Furniture,1367.84,100.78,5
ORD2320,2025-04-24,West,Printer,Technology,662.85,160.17,1
ORD6453,2024-12-14,West,Stapler,Office Supplies,917.67,199.15,2
ORD1668,2025-01-21,West,Printer,Technology,1307.66,234.79,4
ORD1212,2025-02-22,East,Mouse,Technology,1751.99,190.97,5
ORD6650,2025-04-27,East,Monitor,Technology,525.29,115.29,2
ORD4356,2024-09-01,South,Desk,Furniture,1527.82,184.49,4
ORD2171,2025-07-25,East,Monitor,Technology,337.59,58.77,4
ORD1590,2025-03-01,North,Paper,Office Supplies,1328.76,126.68,5
ORD3351,2025-04-27,North,Pen,Office Supplies,630.07,133.21,1
ORD2159,2025-05-13,South,Printer,Technology,1596.54,123.95,3
ORD3178,2025-03-30,West,Printer,Technology,1878.5,307.19,1
ORD6855,2025-01-08,North,Chair,Furniture,1567.99,363.08,1
ORD5415,2025-06-30,South,Paper,Office Supplies,592.72,50.66,3
ORD1324,2024-09-07,East,Shelf,Furniture,382.93,20.33,2
ORD3885,2025-04-28,North,Laptop,Technology,1632.03,153.24,4
ORD6697,2025-05-02,North,Cabinet,Furniture,752.88,110.75,5
ORD5439,2025-01-05,West,Chair,Furniture,1722.52,185.19,1
ORD5417,2025-07-08,East,Shelf,Furniture,1352.98,186.96,4
ORD1192,2024-08-26,North,Chair,Furniture,1266.79,216.11,1
ORD1945,2024-09-23,West,Monitor,Technology,708.0,110.92,3
ORD7810,2025-02-24,East,Shelf,Furniture,316.29,64.71,1
ORD6490,2025-03-23,East,Desk,Furniture,1169.21,242.53,2
ORD1744,2025-01-08,South,Binder,Office Supplies,1613.15,90.62,2
ORD6912,2024-11-12,North,Keyboard,Technology,1732.41,253.23,1
ORD9422,2025-02-26,East,Paper,Office Supplies,439.44,34.73,3
ORD1503,2025-07-17,North,Keyboard,Technology,1346.29,270.99,5
ORD7808,2024-10-19,North,Keyboard,Technology,475.95,77.06,3
ORD6105,2024-09-11,North,Printer,Technology,98.22,9.41,3
ORD2182,2025-02-03,South,Binder,Office Supplies,1883.13,169.55,4
ORD6261,2025-06-19,South,Keyboard,Technology,1857.52,298.93,1
ORD4630,2025-05-16,East,Pen,Office Supplies,1722.16,88.37,2
ORD6140,2025-06-06,East,Table,Furniture,315.43,73.26,5
ORD2410,2025-07-27,East,Keyboard,Technology,202.05,42.23,4
ORD3384,2025-06-20,West,Laptop,Technology,249.1,53.26,3
ORD8974,2025-07-12,North,Keyboard,Technology,1110.1,177.43,3
ORD5065,2024-09-27,West,Stapler,Office Supplies,937.98,110.49,1
ORD6412,2025-07-13,West,Mouse,Technology,1111.58,259.53,4
ORD3885,2025-06-29,East,Cabinet,Furniture,1515.92,222.29,5
ORD6583,2025-03-18,South,Monitor,Technology,1245.6,159.88,5
ORD5031,2024-12-19,North,Mouse,Technology,1520.99,364.94,3
ORD4097,2024-09-29,North,Keyboard,Technology,736.44,171.44,1
ORD3586,2024-12-31,East,Monitor,Technology,56.16,4.8,1
ORD3968,2024-11-07,South,Notebook,Office Supplies,1578.77,375.81,5
ORD5151,2025-06-26,East,Printer,Technology,1983.63,99.49,5
ORD2074,2024-12-17,South,Desk,Furniture,1613.52,358.01,1
ORD1444,2024-09-27,North,Binder,Office Supplies,951.7,115.79,2
ORD3570,2025-07-24,East,Shelf,Furniture,1875.09,309.69,5
ORD1064,2025-05-25,East,Laptop,Technology,1893.48,210.04,5
ORD8731,2024-10-26,North,Keyboard,Technology,720.93,165.61,4
ORD9887,2024-12-25,West,Pen,Office Supplies,415.31,67.28,1
ORD7713,2025-01-13,North,Chair,Furniture,1471.69,97.62,2
ORD1429,2024-08-15,East,Printer,Technology,982.51,143.61,2
ORD9780,2025-06-23,South,Shelf,Furniture,963.62,143.12,2
ORD1078,2025-04-24,North,Pen,Office Supplies,1516.41,99.53,2
ORD3272,2025-07-16,North,Monitor,Technology,214.33,44.55,3
ORD8131,2025-07-03,North,Laptop,Technology,1721.32,226.29,4
ORD2472,2024-12-17,North,Laptop,Technology,519.11,129.77,2
ORD2990,2024-10-20,South,Pen,Office Supplies,1541.86,273.95,5
ORD7060,2024-10-11,East,Table,Furniture,1205.68,75.92,1
ORD7673,2025-06-26,South,Desk,Furniture,205.98,24.59,5
ORD2994,2025-03-01,West,Mouse,Technology,1072.28,145.94,4
ORD3869,2025-04-09,West,Paper,Office Supplies,1172.36,246.93,1
ORD2527,2025-04-23,West,Chair,Furniture,949.69,71.8,1
ORD9617,2024-09-11,East,Shelf,Furniture,75.09,12.7,4
ORD4819,2024-09-25,South,Mouse,Technology,1020.42,90.29,3
ORD4551,2025-06-11,South,Table,Furniture,249.71,34.62,2
ORD3558,2025-04-18,South,Printer,Technology,252.4,19.0,4
ORD6058,2025-01-13,East,Monitor,Technology,766.46,142.54,5
ORD4483,2025-06-02,East,Chair,Furniture,501.11,98.07,5
ORD1980,2025-05-10,South,Shelf,Furniture,796.98,139.61,4
ORD4319,2024-09-03,North,Pen,Office Supplies,880.67,130.04,4
ORD8890,2024-08-29,West,Laptop,Technology,1746.7,180.44,4
ORD8988,2025-01-26,South,Laptop,Technology,1474.09,318.64,3
ORD3020,2024-08-13,East,Keyboard,Technology,447.82,46.5,4
ORD8956,2025-01-03,East,Binder,Office Supplies,100.48,21.63,1
ORD9946,2024-12-02,East,Stapler,Office Supplies,1482.48,280.59,4
ORD1647,2024-08-02,East,Printer,Technology,1757.81,289.1,2
ORD6161,2025-02-15,East,Stapler,Office Supplies,288.28,61.07,4
ORD8643,2024-08-03,North,Notebook,Office Supplies,1435.01,210.95,1
ORD2773,2025-03-24,North,Desk,Furniture,1897.01,347.18,4
ORD4023,2025-05-12,East,Paper,Office Supplies,1618.14,292.85,4
ORD6369,2025-02-26,West,Cabinet,Furniture,1901.38,455.62,4
ORD3616,2024-11-18,East,Pen,Office Supplies,1419.61,261.54,4
ORD7030,2025-03-17,North,Monitor,Technology,1047.67,142.24,2
ORD1831,2025-05-31,West,Monitor,Technology,1502.72,358.31,4
ORD7718,2024-09-16,South,Shelf,Furniture,1949.49,317.77,1
ORD9909,2025-04-30,South,Desk,Furniture,1883.4,140.94,1
ORD6299,2024-10-10,North,Shelf,Furniture,390.57,44.07,5
ORD8060,2024-09-04,West,Notebook,Office Supplies,1589.96,233.3,4
ORD8224,2024-09-16,East,Printer,Technology,1578.92,254.02,1
ORD5032,2025-04-28,West,Laptop,Technology,557.21,71.45,5
ORD8800,2025-04-02,West,Table,Furniture,461.7,108.69,5
ORD3089,2024-10-22,West,Keyboard,Technology,1520.23,170.26,1
ORD1360,2024-11-27,East,Pen,Office Supplies,155.2,27.91,4
ORD6244,2024-12-04,South,Chair,Furniture,441.53,85.78,1
ORD3411,2024-12-24,West,Monitor,Technology,1552.45,174.54,1
ORD1531,2024-09-17,West,Monitor,Technology,264.82,24.08,5
ORD5575,2025-01-06,North,Laptop,Technology,761.99,73.98,2
ORD7263,2025-05-02,North,Laptop,Technology,140.72,9.47,1
ORD8561,2024-12-20,North,Shelf,Furniture,556.86,119.79,4
ORD8801,2025-06-23,East,Chair,Furniture,1551.9,209.18,2
ORD8637,2025-03-30,North,Binder,Office Supplies,1006.26,238.67,5
ORD1950,2024-12-24,North,Laptop,Technology,1152.7,144.11,5
ORD3305,2024-08-13,North,Paper,Office Supplies,1041.66,129.56,3
ORD1561,2025-03-09,West,Notebook,Office Supplies,1678.25,336.54,3
ORD5557,2025-04-03,West,Table,Furniture,241.8,34.33,1
ORD8920,2025-01-08,North,Mouse,Technology,167.39,30.91,4
ORD1018,2025-01-20,North,Paper,Office Supplies,1154.15,274.6,2
